component,function,endpoint,method,auth,expected,dto,db_source,status
anti-tracker,health_check_api_anti_tracker_health_get,/api/anti-tracker/health,GET,unknown,Health check,unknown,unknown,to_verify
anti-tracker,get_settings_api_anti_tracker_settings_get,/api/anti-tracker/settings,GET,unknown,Получение настроек,unknown,unknown,to_verify
anti-tracker,update_settings_api_anti_tracker_settings_post,/api/anti-tracker/settings,POST,unknown,Обновление настроек,unknown,unknown,to_verify
anti-tracker,get_statistics_api_anti_tracker_stats_get,/api/anti-tracker/stats,GET,unknown,Статистика блокировок,unknown,unknown,to_verify
anti-tracker,get_block_status_api_anti_tracker_status_get,/api/anti-tracker/status,GET,unknown,Статус блокировки домена,unknown,unknown,to_verify
anti-tracker,get_tracker_lists_api_anti_tracker_trackers_get,/api/anti-tracker/trackers,GET,unknown,Список известных трекеров,unknown,unknown,to_verify
anti-tracker,unblock_tracker_api_anti_tracker_unblock_post,/api/anti-tracker/unblock,POST,unknown,Разблокировка трекера,unknown,unknown,to_verify
auth,login_api_auth_login_post,/api/auth/login,POST,unknown,Login,unknown,unknown,to_verify
auth,login_by_recovery_code_api_auth_login_by_recovery_code_post,/api/auth/login-by-recovery-code,POST,unknown,Login By Recovery Code,unknown,unknown,to_verify
auth,logout_api_auth_logout_post,/api/auth/logout,POST,unknown,Logout,unknown,unknown,to_verify
auth,refresh_token_api_auth_refresh_post,/api/auth/refresh,POST,unknown,Refresh Token,unknown,unknown,to_verify
auth,register_api_auth_register_post,/api/auth/register,POST,unknown,Register,unknown,unknown,to_verify
subscription,register_device_api_auth_register_device_post,/api/auth/register-device,POST,unknown,Register Device,unknown,unknown,to_verify
subscription,register_device_with_trial_api_auth_register_device_trial_post,/api/auth/register-device-trial,POST,unknown,Register Device With Trial,unknown,unknown,to_verify
Other Functions,resolve_message_conflicts_api_chat_offline_messages_resolve_conflicts_post,/api/chat/offline-messages/resolve-conflicts,POST,unknown,Resolve Message Conflicts,unknown,unknown,to_verify
Other Functions,send_offline_message_api_chat_offline_messages_send_post,/api/chat/offline-messages/send,POST,unknown,Send Offline Message,unknown,unknown,to_verify
Other Functions,sync_offline_messages_api_chat_offline_messages_sync_post,/api/chat/offline-messages/sync,POST,unknown,Sync Offline Messages,unknown,unknown,to_verify
components,get_batch_component_status_api_components_batch_status_post,/api/components/batch/status,POST,unknown,Get Batch Component Status,unknown,unknown,to_verify
components,components_bulk_update_compat_api_components_bulk_update_get,/api/components/bulk-update,GET,unknown,Components Bulk Update Compat,unknown,unknown,to_verify
components,components_config_compat_api_components_config_get,/api/components/config,GET,unknown,Components Config Compat,unknown,unknown,to_verify
Components,update_component_config_api_components_config_update__component_id__post,/api/components/config/update/{component_id},POST,unknown,Update Component Config,unknown,unknown,to_verify
Components,get_component_config_api_components_config__component_id__get,/api/components/config/{component_id},GET,unknown,Get Component Config,unknown,unknown,to_verify
components,get_component_configuration_api_components_configuration__component_id__get,/api/components/configuration/{component_id},GET,unknown,Get Component Configuration,unknown,unknown,to_verify
components,update_component_configuration_api_components_configuration__component_id__post,/api/components/configuration/{component_id},POST,unknown,Update Component Configuration,unknown,unknown,to_verify
